City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,ta`u,-14.2336,-169.5144,79.61,62,29,17.16,AS,1717971205
275,el matama,16.7095,33.3565,95.23,31,63,13.47,SD,1717971205
276,imbituba,-28.24,-48.6703,69.85,82,1,6.62,BR,1717971205
277,mopti,14.6667,-4.0,99.72,24,13,17.47,ML,1717971205
278,batabano,22.7164,-82.2881,79.41,68,56,14.0,CU,1717971205
279,kiunga,-6.1219,141.2906,75.24,99,100,1.05,PG,1717971206
280,shache,38.4167,77.2406,68.52,39,2,3.38,CN,1717971206
281,bikenibeu village,1.3673,173.1241,83.39,76,68,13.04,KI,1717971206
282,saraktash,51.7866,51.7866,69.22,67,60,2.91,RU,1717971206
283,naze,28.3667,129.4833,72.12,85,100,5.84,JP,1717971206
284,zhezqazghan,47.7833,67.7667,72.72,44,7,9.04,KZ,1717971206
285,sao joao da barra,-21.6403,-41.0511,69.89,77,18,13.13,BR,1717971151
286,revelstoke,50.9832,-118.2023,80.35,30,100,0.96,CA,1717971172
287,grootfontein,-19.5667,18.1167,54.72,55,1,5.39,NA,1717971207
288,buala,-8.145,159.5921,83.14,80,100,7.74,SB,1717971207
289,ginir,7.1333,40.7,55.63,92,27,5.77,ET,1717971207
290,arinos,-15.9169,-46.1056,71.87,47,62,3.53,BR,1717971207
291,yuzhno-kurilsk,44.0306,145.8556,52.38,93,100,9.66,RU,1717971207
292,bryne,58.7354,5.6477,52.57,91,75,26.46,NO,1717971208
293,saipan,15.1355,145.701,88.5,66,40,14.97,MP,1717971208
294,kendari,-3.945,122.4989,73.0,96,82,2.98,ID,1717971208
295,carnarvon,-24.8667,113.6333,69.66,82,100,8.37,AU,1717971208
296,mount isa,-20.7333,139.5,53.37,66,3,3.44,AU,1717971208
297,kivioli,59.3531,26.9711,43.36,78,1,8.52,EE,1717971209
298,nelson bay,-32.7167,152.15,52.09,78,5,1.01,AU,1717971209
299,bodaybo,57.8506,114.1933,52.57,77,0,2.01,RU,1717971209
300,douglas,41.3,-96.167,83.28,27,0,4.0,US,1717971010
301,cururupu,-1.8283,-44.8683,74.44,97,90,1.32,BR,1717971210
302,farafangana,-22.8167,47.8333,65.57,82,100,9.95,MG,1717970987
303,haiku-pauwela,20.9219,-156.3051,84.22,60,20,23.02,US,1717971210
304,fayroz koh,34.5195,65.2509,54.88,46,0,2.13,AF,1717971210
305,rawson,-43.3002,-65.1023,53.44,67,1,11.36,AR,1717971210
306,savenay,47.3667,-1.95,56.82,62,0,4.61,FR,1717971211
307,beardstown,40.0176,-90.4243,83.01,59,0,13.09,US,1717971211
308,itaqui,-29.1253,-56.5531,71.4,74,35,8.48,BR,1717971071
309,qamdo,31.1667,97.2333,46.15,65,8,2.44,CN,1717971211
